"State.Name","State.Abbr","State.Code","Region","County.Name","County.Code"
"Alabama","AL","01",4,"Autauga",1
"Alabama","AL","01",4,"Baldwin",3
"Alabama","AL","01",4,"Barbour",5
"Alabama","AL","01",4,"Bibb",7
"Alabama","AL","01",4,"Blount",9
"Alabama","AL","01",4,"Bullock",11
"Alabama","AL","01",4,"Butler",13
"Alabama","AL","01",4,"Calhoun",15
"Alabama","AL","01",4,"Chambers",17
"Alabama","AL","01",4,"Cherokee",19
"Alabama","AL","01",4,"Chilton",21
"Alabama","AL","01",4,"Choctaw",23
"Alabama","AL","01",4,"Clarke",25
"Alabama","AL","01",4,"Clay",27
"Alabama","AL","01",4,"Cleburne",29
"Alabama","AL","01",4,"Coffee",31
"Alabama","AL","01",4,"Colbert",33
"Alabama","AL","01",4,"Conecuh",35
"Alabama","AL","01",4,"Coosa",37
"Alabama","AL","01",4,"Covington",39
"Alabama","AL","01",4,"Crenshaw",41
"Alabama","AL","01",4,"Cullman",43
"Alabama","AL","01",4,"Dale",45
"Alabama","AL","01",4,"Dallas",47
"Alabama","AL","01",4,"DeKalb",49
"Alabama","AL","01",4,"Elmore",51
"Alabama","AL","01",4,"Escambia",53
"Alabama","AL","01",4,"Etowah",55
"Alabama","AL","01",4,"Fayette",57
"Alabama","AL","01",4,"Franklin",59
"Alabama","AL","01",4,"Geneva",61
"Alabama","AL","01",4,"Greene",63
"Alabama","AL","01",4,"Hale",65
"Alabama","AL","01",4,"Henry",67
"Alabama","AL","01",4,"Houston",69
"Alabama","AL","01",4,"Jackson",71
"Alabama","AL","01",4,"Jefferson",73
"Alabama","AL","01",4,"Lamar",75
"Alabama","AL","01",4,"Lauderdale",77
"Alabama","AL","01",4,"Lawrence",79
"Alabama","AL","01",4,"Lee",81
"Alabama","AL","01",4,"Limestone",83
"Alabama","AL","01",4,"Lowndes",85
"Alabama","AL","01",4,"Macon",87
"Alabama","AL","01",4,"Madison",89
"Alabama","AL","01",4,"Marengo",91
"Alabama","AL","01",4,"Marion",93
"Alabama","AL","01",4,"Marshall",95
"Alabama","AL","01",4,"Mobile",97
"Alabama","AL","01",4,"Monroe",99
"Alabama","AL","01",4,"Montgomery",101
"Alabama","AL","01",4,"Morgan",103
"Alabama","AL","01",4,"Perry",105
"Alabama","AL","01",4,"Pickens",107
"Alabama","AL","01",4,"Pike",109
"Alabama","AL","01",4,"Randolph",111
"Alabama","AL","01",4,"Russell",113
"Alabama","AL","01",4,"Shelby",117
"Alabama","AL","01",4,"St. Clair",115
"Alabama","AL","01",4,"Sumter",119
"Alabama","AL","01",4,"Talladega",121
"Alabama","AL","01",4,"Tallapoosa",123
"Alabama","AL","01",4,"Tuscaloosa",125
"Alabama","AL","01",4,"Walker",127
"Alabama","AL","01",4,"Washington",129
"Alabama","AL","01",4,"Wilcox",131
"Alabama","AL","01",4,"Winston",133
"Alaska","AK","02",10,"Aleutians East Borough, Alaska",13
"Alaska","AK","02",10,"Aleutians West Census Area, Alaska",16
"Alaska","AK","02",10,"Anchorage Municipality, Alaska",20
"Alaska","AK","02",10,"Bethel Census Area, Alaska",50
"Alaska","AK","02",10,"Bristol Bay Borough, Alaska",60
"Alaska","AK","02",10,"Denali Borough, Alaska",68
"Alaska","AK","02",10,"Dillingham Census Area, Alaska",70
"Alaska","AK","02",10,"Fairbanks North Star Borough, Alaska",90
"Alaska","AK","02",10,"Haines Borough, Alaska",100
"Alaska","AK","02",10,"Hoonah-Angoon Census Area, Alaska",105
"Alaska","AK","02",10,"Juneau City and Borough, Alaska",110
